# https://plone.unige.ch/espresso/Science/observations/instrumental-issues/your-eso-runs-106-21m2-001-002-006-007-and-1104-c-0350-a-update-on-technical-problems
#
# From January to April 2021, ESPRESSO's was affected by critical software issues.
# These low-level issues – at the level of communication with the Programmable
# Logic Controller, [PLC] – did not trigger any error or warning. The problem thus
# compromised a large number of observations for several programs before it was
# identified. It was originally misdiagnosed as an UT2 ADC2 failure, while further
# investigation showed that it resulted from a pure communication issue affecting
# the four ADC2's. It affected thus data on each of the UTs in a similar way.
# 
# The faulty data can be identified by the absence or zero value of the header
# keywords
# 
# HIERARCH ESO INS ADC2 RA =  0. / [deg] Telescope right ascension.
# HIERARCH ESO INS ADC2 SENS1 = 0. / [mbar] Pressure.
# HIERARCH ESO INS ADC2 TEMP = 0. / [C] Temperature.
# 
# With ADC2 being non-responsive, the atmospheric dispersion was not corrected
# for, and the chromatic stellar images formed on the field-stabilization TCCD did
# not overlap spatially. This introduced a wavelength-dependent light loss at the
# fiber interface.
# 
# A comparison of RV taken with the ADC operating in and out of range, i.e.,
# correcting all atmospheric dispersion or leaving uncorrected atmospheric
# dispersion, respectively, shows that the latter dataset is affected by an
# additional scatter of the order of 1 m/s. A faulty ADC will not correct or even
# introduce an atmospheric dispersion having an effect that is, to first order,
# similar to having an ADC operating out of range, and thus of the same order of
# magnitude.
# 
# An important exception applies. The ESPRESSO pipeline was devised to correct the
# residual atmosphere dispersion effect, i.e. after ADC correction. This reduces
# significantly the chromatic effects on data. If flux correction is possible,
# i.e.
# 
# HIERARCH ESO QC SCIRED FLUX CORR CHECK = 1 / Flux correction QC
# 
# then the impact remains at ~1 m/s. If this QC did not pass, the flux correction
# was not applied and the effect can be of several m/s.
# 
# Finally, programs aiming at high spectral fidelity will be compromised by
# systematic errors on the flux and line-spread function determinations. The
# severity of these effects will vary from spectra to spectra. Without a precise
# knowledge of the ADC2 true position, they are very difficult to correct.
# 
# Future updates of this issue would be posted via the news page of the ESPRESSO
# instrument at
# https://www.eso.org/sci/facilities/paranal/instruments/espresso/news.html.
# 
# The updated list of ADC events affecting your runs are listed at the end of this
# message.
#
2021-04-17      r.ESPRE.2021-04-18T00:07:17.732   106.21M2.006    3020870
2021-04-17      r.ESPRE.2021-04-18T00:09:41.312   106.21M2.006    3020870
2021-04-17      r.ESPRE.2021-04-18T00:12:04.823   106.21M2.006    3020870
2021-04-17      r.ESPRE.2021-04-18T00:14:28.449   106.21M2.006    3020870
2021-04-17      r.ESPRE.2021-04-18T00:19:57.383   106.21M2.007    3012692
2021-04-17      r.ESPRE.2021-04-18T00:47:48.433   106.21M2.007    3012636
2021-04-17      r.ESPRE.2021-04-18T01:07:15.383   106.21M2.006    3020197
2021-04-17      r.ESPRE.2021-04-18T03:45:39.316   106.21M2.006    3020873
2021-04-17      r.ESPRE.2021-04-18T03:48:02.977   106.21M2.006    3020873
2021-04-17      r.ESPRE.2021-04-18T03:50:26.544   106.21M2.006    3020873
2021-04-17      r.ESPRE.2021-04-18T03:52:47.322   106.21M2.006    3020873
2021-04-17      r.ESPRE.2021-04-18T03:55:10.997   106.21M2.006    3020873
2021-04-17      r.ESPRE.2021-04-18T03:57:34.569   106.21M2.006    3020873
2021-04-17      r.ESPRE.2021-04-18T03:59:55.407   106.21M2.006    3020873
2021-04-17      r.ESPRE.2021-04-18T04:08:13.273   106.21M2.006    3019993
2021-04-17      r.ESPRE.2021-04-18T06:59:20.759   106.21M2.006    3020244
2021-04-19      r.ESPRE.2021-04-19T23:52:36.488   106.21M2.006    3020833
2021-04-19      r.ESPRE.2021-04-20T00:12:10.664   106.21M2.006    3020064
2021-04-19      r.ESPRE.2021-04-20T00:34:11.620   106.21M2.007    3012695
2021-04-20      r.ESPRE.2021-04-20T23:36:14.524   106.21M2.006    3020876
2021-04-20      r.ESPRE.2021-04-20T23:38:38.134   106.21M2.006    3020876
2021-04-20      r.ESPRE.2021-04-20T23:41:01.666   106.21M2.006    3020876
2021-04-20      r.ESPRE.2021-04-20T23:43:25.284   106.21M2.006    3020876
2021-04-20      r.ESPRE.2021-04-20T23:45:48.822   106.21M2.006    3020876
2021-04-20      r.ESPRE.2021-04-20T23:48:12.433   106.21M2.006    3020876
2021-04-20      r.ESPRE.2021-04-20T23:50:33.350   106.21M2.006    3020876
2021-04-20      r.ESPRE.2021-04-20T23:56:33.666   106.21M2.007    3012639
2021-04-20      r.ESPRE.2021-04-21T05:43:45.357   106.21M2.006    3020879
2021-04-20      r.ESPRE.2021-04-21T05:46:08.977   106.21M2.006    3020879
2021-04-20      r.ESPRE.2021-04-21T05:48:29.824   106.21M2.006    3020879
2021-04-20      r.ESPRE.2021-04-21T05:50:53.468   106.21M2.006    3020879
2021-04-20      r.ESPRE.2021-04-21T05:53:17.025   106.21M2.006    3020879
2021-04-20      r.ESPRE.2021-04-21T05:55:37.708   106.21M2.006    3020879
2021-04-20      r.ESPRE.2021-04-21T05:58:01.368   106.21M2.006    3020879
2021-04-20      r.ESPRE.2021-04-21T06:29:03.270   106.21M2.007    3012923
2021-04-21      r.ESPRE.2021-04-21T23:44:47.067   106.21M2.006    3020067
2021-04-21      r.ESPRE.2021-04-22T00:04:27.970   106.21M2.006    3020836
2021-04-22      r.ESPRE.2021-04-22T23:40:19.104   106.21M2.007    3012698
2021-04-22      r.ESPRE.2021-04-23T01:28:37.536   106.21M2.006    3019996
2021-01-22      r.ESPRE.2021-01-23T07:24:10.220   106.21M2.001    2984199
